dataset,date,latitude,longitude,deaths_min,deaths_max,children,names,description,source
dronestream,2002-11-03T00:00:00.000Z,15.47467,45.322755,6,6,"Qaâ€™id Salim Sinan al-Harithi, Abu Ahmad al-Hijazi, Salih Hussain Ali al-Nunu, Awsan Ahmad al-Tarihi, Munir Ahmad Abdallah al-Sauda, Adil Nasir al-Saudaâ€™",,"In the first known US targeted assassination using a drone, a CIA Predator struck a car killing six al Qaeda suspects.",http://www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/
dronestream,2004-06-17T00:00:00.000Z,32.3051256533,69.5762443542,6,8,"Nek Mohammad, Fakhar Zaman, Azmat Khan, Marez Khan, Shahrukh Khan, Leetak, Sher Zaman Ashrafkhel",,"First known drone strike in Pakistan kills at least six, including infamous Taliban leader Nek Mohammad and two children. Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2005-05-08T00:00:00.000Z,32.9867798934,70.2608299255,2,2,"Haitham al-Yemeni, Samiullah Khan",,"Two killed, including Haitham al-Yemeni an al Qaeda explosives expert, near Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2005-11-05T00:00:00.000Z,32.9998819119,70.3408241272,8,8,0,,"Failed strike against Abu Hamza Rabia (""al Qaedaâ€™s Number 3"") kills eight including three children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2005-12-01T00:00:00.000Z,33.0086634946,70.0419616699,5,5,"Abu Hamza Rabia, Suleiman al-Moghrabi, Amer Azizi, Noor Aziz, Abdul Wasit",,"Syrian Abu Hamza Rabia, the senior al Qaeda operative targeted in B3, was killed with two other foreign militants and two boys, aged eight and 17.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2006-01-06T00:00:00.000Z,33.0949931078,70.0591278076,8,8,0,,"An attack on an unnamed alleged al Qaeda official left eight killed, including two women and at least one child.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2006-01-13T00:00:00.000Z,34.8154945317,71.496963501,13,22,0,,"A strike targeted a possible militant commanders' meeting. But main target Ayman al Zawahiri was absent. Up to 22 people died, most or all civilians, including at least five children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2006-10-30T00:00:00.000Z,34.8363499908,71.4921569824,81,83,"Maulvi Liaqat, Mohammad Tahir (16), Maulvi Khaleefa, Azizul Wahab (15), Fazal Wahab (16), Ziauddin (16), Mohammad Yunus (16), Fazal Hakim (19), Ilyas (13), Sohail (07), Asadullah (09), Shoaib (08), Khalilullah (09), Noor Mohammad (08), Khalid (12), Saifullah (09), Razi Mohammad (16), Mashooq Jan (15), Nawab (17), Sultanat Khan (16), Mohammad Yaas Khan (16), Qari Alamzeb (14), Ghulam Nabi (21), Ziaur Rahman (17), Abdullah (18), Ikramullah (17), Inayatur Rahman (16), Shahbuddin (15), Yahya Khan (16), Rahatullah, (17), Khan (21), Mohammad Salim (11), Shahjehan (15), Gul Sher Khan (15), Bakht Muneer (14), Numair (14), Mashooq Khan (16), Ihsanullah (16), Luqman (12), Salman (16), Jannatullah (13), Ismail (12), Taseel Khan (18), Zaheeruddin (16), Qari Ishaq (19), Jamshed Khan (14), Alam Nabi (11), Qari Abdul Karim (19), Rahmatullah (14), Abdus Samad (17), Siraj (16), Saeedullah (17), Abdul Waris (16), Darvesh (13), Ameer Said (15), Shaukat (14), Inayatur Rahman (17), Ziaur Rahman (13), Noor Mohammad (15), Naeemullah (17),        Hizbullah (10), Kitab Gul (12), Wilayat Khan (11), Zabihullah (16), Shehzad Gul (11), Shabir (15), Qari Sharifullah (17), Shafiullah (16), Nimatullah (14), Shakirullah (16), Talha (08), Jamroz Khan, Fazal Wahab (18), Rahman (13), Wali-ur-Rahman (17), Iftikhar (17), Inayatullah (15), Adnan (16), Najibullah (13)",,"An attack on a madrassa (allegedly a ""Taliban training camp"") killed 81-83, including at least 69 children.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2007-01-16T00:00:00.000Z,32.835750633,69.5558166504,8,8,"Katoor Khan, Taj Alam",,"Initial claims of 30 Taliban killed were lowered to eight deaths, who villagers insist were all innocent woodcutters.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2007-04-27T00:00:00.000Z,33.0949931078,70.0591278076,3,4,0,,"Attack on a house and madrassa killed 3-4, reportedly all named civilians.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2007-06-19T00:00:00.000Z,32.9887957151,70.287437439,20,34,0,,"20-34 killed in attack on a madrassa, including â€˜foreignersâ€™. All killed could have been civilians and one report said children were among the dead.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2007-11-02T00:00:00.000Z,33.0201789992,70.0728607178,5,10,0,,CIA drone strike kills 5-10 alleged Haqqani Network militants.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
