Row Labels,Sum of deaths_max,Sum of children
11/03/02,6,0
06/17/04,8,2
05/08/05,2,0
11/05/05,8,3
12/01/05,5,2
01/06/06,8,1
01/13/06,22,5
10/30/06,83,69
01/16/07,8,1
04/27/07,4,0
06/19/07,34,0
11/02/07,10,0
12/03/07,0,0
01/29/08,15,3
02/28/08,13,0
03/16/08,20,0
05/14/08,20,3
06/14/08,1,0
07/28/08,12,3
08/12/08,25,0
08/20/08,12,0
08/27/08,0,0
08/30/08,13,0
09/02/08,10,0
09/04/08,7,0
09/05/08,12,4
09/08/08,23,8
09/12/08,15,0
09/17/08,7,0
09/30/08,8,0
10/03/08,24,4
10/09/08,9,4
10/11/08,5,0
10/16/08,9,0
10/23/08,11,0
10/26/08,20,3
10/31/08,37,0
11/07/08,16,0
11/14/08,13,0
11/19/08,6,0
11/22/08,6,0
11/27/08,5,0
11/29/08,3,0
12/05/08,4,0
12/11/08,7,0
12/15/08,3,0
12/22/08,7,0
01/01/09,5,0
01/02/09,4,0
01/23/09,25,4
02/14/09,35,1
02/16/09,31,0
03/01/09,12,0
03/12/09,25,0
03/15/09,5,0
03/25/09,8,0
03/26/09,5,0
04/01/09,14,3
04/04/09,13,4
04/08/09,4,0
04/19/09,8,2
04/29/09,10,0
05/04/09,147,93
05/09/09,25,0
05/12/09,9,0
05/16/09,40,0
06/14/09,5,0
06/18/09,14,0
06/23/09,89,10
07/03/09,22,0
07/07/09,18,0
07/08/09,50,0
07/10/09,10,0
07/17/09,6,0
08/05/09,12,0
08/11/09,25,4
08/21/09,21,6
08/27/09,10,0
09/04/09,80,0
09/07/09,8,0
09/08/09,15,3
09/14/09,5,0
09/24/09,12,0
09/29/09,15,0
09/30/09,18,6
10/15/09,4,0
10/21/09,3,0
10/24/09,27,0
11/05/09,6,0
11/18/09,6,0
11/20/09,10,1
12/08/09,4,0
12/10/09,6,0
12/17/09,18,0
12/18/09,8,0
12/26/09,20,0
12/31/09,15,1
01/01/10,3,0
01/03/10,5,1
01/06/10,16,0
01/08/10,5,1
01/09/10,23,0
01/15/10,15,0
01/17/10,20,0
01/19/10,6,0
01/29/10,15,0
02/02/10,32,0
02/14/10,19,0
02/15/10,10,0
02/17/10,4,0
02/18/10,5,0
02/21/10,33,0
02/24/10,13,1
03/08/10,9,0
03/10/10,15,0
03/16/10,11,0
03/17/10,10,0
03/21/10,8,0
03/23/10,6,0
03/27/10,4,0
03/31/10,6,1
04/12/10,13,0
04/14/10,4,0
04/16/10,4,0
04/24/10,9,0
