Row Labels,Sum of deaths_max,Sum of children
2009-12-10 00:00:00+00,6,0
2009-12-17 00:00:00+00,18,0
2009-12-18 00:00:00+00,8,0
2009-12-26 00:00:00+00,20,0
2009-12-31 00:00:00+00,15,1
2010-01-01 00:00:00+00,3,0
2010-01-03 00:00:00+00,5,1
2010-01-06 00:00:00+00,16,0
2010-01-08 00:00:00+00,5,1
2010-01-09 00:00:00+00,23,0
2010-01-15 00:00:00+00,15,0
2010-01-17 00:00:00+00,20,0
2010-01-19 00:00:00+00,6,0
2010-01-29 00:00:00+00,15,0
2010-02-02 00:00:00+00,32,0
2010-02-14 00:00:00+00,19,0
2010-02-15 00:00:00+00,10,0
2010-02-17 00:00:00+00,4,0
2010-02-18 00:00:00+00,5,0
2010-02-21 00:00:00+00,33,0
2010-02-24 00:00:00+00,13,1
2010-03-08 00:00:00+00,9,0
2010-03-10 00:00:00+00,15,0
2010-03-16 00:00:00+00,11,0
2010-03-17 00:00:00+00,10,0
2010-03-21 00:00:00+00,8,0
2010-03-23 00:00:00+00,6,0
2010-03-27 00:00:00+00,4,0
2010-03-31 00:00:00+00,6,1
2010-04-12 00:00:00+00,13,0
2010-04-14 00:00:00+00,4,0
2010-04-16 00:00:00+00,4,0
2010-04-24 00:00:00+00,9,0
2010-04-26 00:00:00+00,8,0
2010-05-03 00:00:00+00,6,0
2010-05-09 00:00:00+00,10,0
2010-05-11 00:00:00+00,29,0
2010-05-15 00:00:00+00,15,0
2010-05-21 00:00:00+00,12,4
2010-05-28 00:00:00+00,12,0
2010-06-10 00:00:00+00,7,0
2010-06-11 00:00:00+00,15,0
2010-06-19 00:00:00+00,17,0
2010-06-26 00:00:00+00,4,0
2010-06-27 00:00:00+00,6,0
2010-06-29 00:00:00+00,10,0
2010-07-15 00:00:00+00,14,0
2010-07-23 00:00:00+00,39,0
2010-07-24 00:00:00+00,18,0
2010-07-25 00:00:00+00,25,0
2010-08-14 00:00:00+00,14,0
2010-08-21 00:00:00+00,6,0
2010-08-23 00:00:00+00,27,3
2010-08-27 00:00:00+00,12,0
2010-09-03 00:00:00+00,13,0
2010-09-04 00:00:00+00,8,0
2010-09-06 00:00:00+00,6,0
2010-09-08 00:00:00+00,24,4
2010-09-09 00:00:00+00,6,0
2010-09-12 00:00:00+00,7,0
2010-09-14 00:00:00+00,16,0
2010-09-15 00:00:00+00,22,0
2010-09-19 00:00:00+00,9,0
2010-09-20 00:00:00+00,6,0
2010-09-21 00:00:00+00,32,0
2010-09-25 00:00:00+00,4,0
2010-09-26 00:00:00+00,12,0
2010-09-27 00:00:00+00,4,0
2010-09-28 00:00:00+00,4,0
2010-10-02 00:00:00+00,24,0
2010-10-04 00:00:00+00,9,0
2010-10-06 00:00:00+00,11,0
2010-10-07 00:00:00+00,4,0
2010-10-08 00:00:00+00,14,0
2010-10-10 00:00:00+00,9,0
2010-10-13 00:00:00+00,14,0
2010-10-15 00:00:00+00,11,0
2010-10-18 00:00:00+00,7,1
2010-10-27 00:00:00+00,9,0
2010-10-28 00:00:00+00,8,0
2010-11-01 00:00:00+00,6,0
2010-11-03 00:00:00+00,15,0
2010-11-07 00:00:00+00,15,0
2010-11-11 00:00:00+00,8,0
2010-11-13 00:00:00+00,4,0
2010-11-16 00:00:00+00,20,2
2010-11-19 00:00:00+00,4,0
2010-11-21 00:00:00+00,9,0
2010-11-22 00:00:00+00,6,0
2010-11-26 00:00:00+00,4,0
2010-11-28 00:00:00+00,4,0
2010-12-06 00:00:00+00,7,0
2010-12-10 00:00:00+00,4,0
2010-12-14 00:00:00+00,4,0
2010-12-16 00:00:00+00,7,0
2010-12-17 00:00:00+00,54,0
2010-12-27 00:00:00+00,26,0
2010-12-28 00:00:00+00,28,0
2010-12-31 00:00:00+00,8,0
2011-01-01 00:00:00+00,24,0
2011-01-07 00:00:00+00,6,0
2011-01-12 00:00:00+00,5,0
